ADDRESS,NEIGHBOURHOOD_NAME,WARD,ZONING,SECTOR,SIZE (m2),TYPOLOGY,KNOWN PLANNING APPLICATIONS,OWNERSHIP_TYPE,GROUPS,LATITUDE,LONGITUDE,LOCATION,Geometry Point
9523 103 AVENUE NW,Boyle Street,6,DC1,Central,374.414,Central Core,NA,PRIVATE,,53.5465691856275,-113.480839955008,"(53.5465691856275, -113.480839955008)",POINT (-113.480839955008 53.5465691856275)
11206 107 AVENUE NW,Queen Mary Park,6,CB1,Central,335.474,Central Core,NA,PRIVATE,,53.5516403789304,-113.514414190779,"(53.5516403789304, -113.514414190779)",POINT (-113.514414190779 53.5516403789304)
8508 106A AVENUE NW,Boyle Street,6,DC1,Central,1044.427,Central Core,NA,PRIVATE,7,53.557009438989,-113.473102427019,"(53.557009438989, -113.473102427019)",POINT (-113.473102427019 53.557009438989)
503 HILLCREST POINT NW,Patricia Heights,5,RSL,Central,1505.492,Mature,NA,PRIVATE,168,53.5037446311848,-113.590775003725,"(53.5037446311848, -113.590775003725)",POINT (-113.590775003725 53.5037446311848)
9621 104 STREET NW,Rossdale,6,DC1,Central,696.138,Central Core,NA,MUNICIPAL,,53.533064703399,-113.498714253785,"(53.533064703399, -113.498714253785)",POINT (-113.498714253785 53.533064703399)
9745 92 STREET NW,Cloverdale,8,DC1,Central,373.849,Central Core,NA,PRIVATE,,53.5374759079855,-113.468029732079,"(53.5374759079855, -113.468029732079)",POINT (-113.468029732079 53.5374759079855)
10819 111 AVENUE NW,Central McDougall,6,DC2,Central,720.613,Central Core,NA,PRIVATE,28,53.558550862261,-113.507612978994,"(53.558550862261, -113.507612978994)",POINT (-113.507612978994 53.558550862261)
12603 STONY PLAIN ROAD NW,Westmount,6,RA7,Central,465.814,Mature,NA,PRIVATE,,53.5471416475144,-113.53971328978,"(53.5471416475144, -113.53971328978)",POINT (-113.53971328978 53.5471416475144)
9646 106A AVENUE NW,McCauley,6,RF6,Central,374.639,Central Core,NA,PRIVATE,,53.5514868810173,-113.488219663044,"(53.5514868810173, -113.488219663044)",POINT (-113.488219663044 53.5514868810173)
509 HILLCREST POINT NW,Patricia Heights,5,RSL,Central,921.255,Mature,NA,PRIVATE,168,53.5040613103056,-113.591805978925,"(53.5040613103056, -113.591805978925)",POINT (-113.591805978925 53.5040613103056)
10752 98 STREET NW,McCauley,6,CB2,Central,304.78,Central Core,NA,PRIVATE,57,53.5526223936501,-113.491522482169,"(53.5526223936501, -113.491522482169)",POINT (-113.491522482169 53.5526223936501)
9618 106 AVENUE NW,McCauley,6,RF6,Central,374.695,Central Core,NA,PRIVATE,,53.550841282001,-113.486488021097,"(53.550841282001, -113.486488021097)",POINT (-113.486488021097 53.550841282001)
793 DRYSDALE RUN NW,Donsdale,5,RF1,West,881.204,Established,NA,PRIVATE,206,53.4821974168874,-113.636756316806,"(53.4821974168874, -113.636756316806)",POINT (-113.636756316806 53.4821974168874)
9620 104 STREET NW,Rossdale,6,DC1,Central,482.561,Central Core,NA,PROVINCIAL,75,53.5332245179766,-113.499769579315,"(53.5332245179766, -113.499769579315)",POINT (-113.499769579315 53.5332245179766)
11323 79 STREET NW,Edmonton Northlands,7,RF1,Central,635.818,Mature,NA,MUNICIPAL,127,53.5634887658473,-113.462071318576,"(53.5634887658473, -113.462071318576)",POINT (-113.462071318576 53.5634887658473)
12403 49 STREET NW,Bergman,7,RF1,Central,1725.832,Mature,NA,PRIVATE,146,53.5802589385698,-113.41640349353,"(53.5802589385698, -113.41640349353)",POINT (-113.41640349353 53.5802589385698)
9625 107 AVENUE NW,McCauley,6,RF6,Central,374.698,Central Core,"1) Major Development Permit: Job No 129515396-002: To continue to operate a 4 suite Apartment House  2) Minor Development Permit: Job No 146595083-001: To demolish a Single Detached House ( 12.95m x 7.31m) and an Accessory Building ( detached garage, 3.96m x 7.31m)",PRIVATE,,53.5520352470732,-113.487377122471,"(53.5520352470732, -113.487377122471)",POINT (-113.487377122471 53.5520352470732)
10244 WADHURST ROAD NW,Westmount,6,RF3,Central,1107.993,Mature,1) Minor Development Permit: Job No 144153447-001: To demolish a Single Detached House.,PRIVATE,,53.5444550207269,-113.539611783627,"(53.5444550207269, -113.539611783627)",POINT (-113.539611783627 53.5444550207269)
8303 118 AVENUE NW,Parkdale,7,CB2,Central,254.071,Mature,NA,PRIVATE,119,53.5701665215051,-113.469234564538,"(53.5701665215051, -113.469234564538)",POINT (-113.469234564538 53.5701665215051)
7216 156 STREET NW,Patricia Heights,5,RSL,Central,597.143,Mature,NA,PRIVATE,168,53.5047098857368,-113.590796470896,"(53.5047098857368, -113.590796470896)",POINT (-113.590796470896 53.5047098857368)
10886 98 STREET NW,McCauley,6,DC1,Central,223.459,Central Core,NA,PRIVATE,42,53.5555514020457,-113.492679052403,"(53.5555514020457, -113.492679052403)",POINT (-113.492679052403 53.5555514020457)
11416 71 AVENUE NW,Belgravia,8,RF1,Central,686.755,Mature,1) Rezoning: To rezone from RF1 to RA7 2) Minor Development Permit: Job No 145778279-001: To demolish a Single Detached House and Accessory Building (rear detached Garage),PRIVATE,169,53.5080027119833,-113.526362584062,"(53.5080027119833, -113.526362584062)",POINT (-113.526362584062 53.5080027119833)
8512 106A AVENUE NW,Boyle Street,6,DC1,Central,1044.52,Central Core,NA,PRIVATE,7,53.5568962913466,-113.473231883686,"(53.5568962913466, -113.473231883686)",POINT (-113.473231883686 53.5568962913466)
10150 92 STREET NW,Riverdale,6,RF2,Central,252.084,Central Core,NA,PRIVATE,,53.5441482210753,-113.472800560595,"(53.5441482210753, -113.472800560595)",POINT (-113.472800560595 53.5441482210753)
9738 100A STREET NW,Rossdale,6,DC1,Central,306.913,Central Core,"1) Rezoning: To rezone from DC1 to DC1, AP, A",MUNICIPAL,77,53.5352271211286,-113.492782080546,"(53.5352271211286, -113.492782080546)",POINT (-113.492782080546 53.5352271211286)
12122 45 STREET NW,Beacon Heights,7,RF1,Central,484.697,Mature,1) Minor Development Permit: Job No 144490717-001: To demolish a Single Detached House,PRIVATE,,53.5759587200008,-113.411091428286,"(53.5759587200008, -113.411091428286)",POINT (-113.411091428286 53.5759587200008)
11317 95 STREET NW,Alberta Avenue,7,CNC,Central,367.883,Mature,NA,PRIVATE,103,53.5631312614501,-113.486732145218,"(53.5631312614501, -113.486732145218)",POINT (-113.486732145218 53.5631312614501)
10416 87 AVENUE NW,Strathcona,8,DC1,Central,453.938,Central Core,NA,PRIVATE,84,53.5227799940126,-113.49858860623,"(53.5227799940126, -113.49858860623)",POINT (-113.49858860623 53.5227799940126)
9103 111 AVENUE NW,McCauley,6,CB1,Central,528.895,Central Core,1) Rezoning: To rezone from CB1 to DC5,PRIVATE,56,53.5604486852375,-113.481368004876,"(53.5604486852375, -113.481368004876)",POINT (-113.481368004876 53.5604486852375)
15739 100A AVENUE NW,Glenwood,1,RF1,Central,631.832,Mature,NA,PRIVATE,,53.5399835064428,-113.593554993205,"(53.5399835064428, -113.593554993205)",POINT (-113.593554993205 53.5399835064428)
15808 100 AVENUE NW,Glenwood,1,RF1,Central,505.375,Mature,NA,PRIVATE,164,53.5395569958936,-113.59429071035,"(53.5395569958936, -113.59429071035)",POINT (-113.59429071035 53.5395569958936)
11057 95 STREET NW,McCauley,6,CB1,Central,332.914,Central Core,1) Minor Development Permit: Job No 146141105-002: To demolish a Commercial-Residential Building (4 Dwellings),PRIVATE,,53.559641597928,-113.486369969849,"(53.559641597928, -113.486369969849)",POINT (-113.486369969849 53.559641597928)
10311 120 STREET NW,Oliver,6,RF6,Central,696.58,Central Core,1) Minor Development Permit: Job No 140869126-001: To demolish the existing Single Detached House 7.39m x 8.69m),PRIVATE,,53.5450643455645,-113.528126022707,"(53.5450643455645, -113.528126022707)",POINT (-113.528126022707 53.5450643455645)
9601 105 STREET NW,Rossdale,6,DC1,Central,263.518,Central Core,NA,MUNICIPAL,80,53.5329252852044,-113.499939756784,"(53.5329252852044, -113.499939756784)",POINT (-113.499939756784 53.5329252852044)
21 WELLINGTON CRESCENT NW,Glenora,6,RF1,Central,869.949,Mature,"1) House Development Permit: Job No 155036062-001: To construct a Single Detached House with front attached garage, front veranda, fireplace and basement development (not to be used as a secondary suite)",PRIVATE,,53.5412924051852,-113.54715629859,"(53.5412924051852, -113.54715629859)",POINT (-113.54715629859 53.5412924051852)
1147 FALCONER ROAD NW,Falconer Heights,9,RF1,Southwest,679.703,Established,NA,PRIVATE,212,53.4633769073431,-113.589495357166,"(53.4633769073431, -113.589495357166)",POINT (-113.589495357166 53.4633769073431)
9373 CAMERON AVENUE NW,Riverdale,6,RF2,Central,305.692,Central Core,NA,PRIVATE,,53.5422015626465,-113.476680029292,"(53.5422015626465, -113.476680029292)",POINT (-113.476680029292 53.5422015626465)
11838 77 STREET NW,Eastwood,7,RA9,Central,367.871,Mature,NA,MUNICIPAL,134,53.5715655037787,-113.45996225977,"(53.5715655037787, -113.45996225977)",POINT (-113.45996225977 53.5715655037787)
5450 WHITEMUD ROAD NW,Brander Gardens,9,RR,Southwest,17827.643,Established,NA,PRIVATE,,53.4920044885444,-113.58400904163,"(53.4920044885444, -113.58400904163)",POINT (-113.58400904163 53.4920044885444)
9103 111 AVENUE NW,McCauley,6,CB1,Central,550.654,Central Core,1) Rezoning: To rezone from CB1 to DC3,PRIVATE,56,53.5604486852375,-113.481368004876,"(53.5604486852375, -113.481368004876)",POINT (-113.481368004876 53.5604486852375)
10102 82 STREET NW,Forest Heights,8,RF3,Central,381.852,Mature,NA,PRIVATE,181,53.5414256198222,-113.454471928503,"(53.5414256198222, -113.454471928503)",POINT (-113.454471928503 53.5414256198222)
13628 RAVINE DRIVE NW,Glenora,6,RF1,Central,806.053,Mature,"1) Minor Development Permit: Job No 140049870-001: To demolish an Existing Home 2) House Development Permit: Job No 141154099-001: To construct a single detached house with front attached garage, front veranda, fireplace and basement development (No Secondary Suite Involved) 3) Accessory Building Development Permit: Job No 153828187-001: To construct an Accessory Building (Detached Garage 10.36m x 8.53m)",PRIVATE,,53.5400532338253,-113.558235973567,"(53.5400532338253, -113.558235973567)",POINT (-113.558235973567 53.5400532338253)
10611 98 STREET NW,McCauley,6,CB2,Central,453.869,Central Core,NA,PRIVATE,54,53.5504221705066,-113.489758291153,"(53.5504221705066, -113.489758291153)",POINT (-113.489758291153 53.5504221705066)
12434 47 STREET NW,Bergman,7,RF1,Central,287.816,Mature,NA,PRIVATE,144,53.5808176293459,-113.413826766133,"(53.5808176293459, -113.413826766133)",POINT (-113.413826766133 53.5808176293459)
10577 112 STREET NW,Queen Mary Park,6,PU,Central,696.767,Central Core,NA,PRIVATE,93,53.5496435598137,-113.513422234657,"(53.5496435598137, -113.513422234657)",POINT (-113.513422234657 53.5496435598137)
9850 BELLAMY HILL NW,Downtown,6,HDR,Central,694.232,Central Core,NA,PRIVATE,89,53.5369932998365,-113.496092259407,"(53.5369932998365, -113.496092259407)",POINT (-113.496092259407 53.5369932998365)
14322 STONY PLAIN ROAD NW,Grovenor,6,RF3,Central,382.436,Mature,NA,MUNICIPAL,157,53.5430126329845,-113.568444285449,"(53.5430126329845, -113.568444285449)",POINT (-113.568444285449 53.5430126329845)
783 DRYSDALE RUN NW,Donsdale,5,RF1,West,726.356,Established,NA,PRIVATE,207,53.4821845566349,-113.638424357668,"(53.4821845566349, -113.638424357668)",POINT (-113.638424357668 53.4821845566349)
9858 73 AVENUE NW,Ritchie,11,RF3,Central,405.071,Mature,NA,PRIVATE,180,53.5097553674981,-113.485724313338,"(53.5097553674981, -113.485724313338)",POINT (-113.485724313338 53.5097553674981)
625 LEGER WAY NW,Leger,9,DC2,Southwest,5934.972,Established,1) Major Development Permit: Job No 153672866-001: To construct and operate a Residential Sales Centre.  2) Major Development Permit: Job No 142402836-002: To construct 60 dwellings of Apartment Housings (1 building) with underground parkade.,PRIVATE,,53.4558839553772,-113.577122584577,"(53.4558839553772, -113.577122584577)",POINT (-113.577122584577 53.4558839553772)
15030 125 STREET NW,Baranow,2,IB,North,5795.208,Established,NA,PRIVATE,199,53.6122667211549,-113.53906575262,"(53.6122667211549, -113.53906575262)",POINT (-113.53906575262 53.6122667211549)
11814 94 STREET NW,Alberta Avenue,7,RF3,Central,383.019,Mature,NA,PRIVATE,,53.5708876240936,-113.486220810402,"(53.5708876240936, -113.486220810402)",POINT (-113.486220810402 53.5708876240936)
10131 95 STREET NW,Boyle Street,6,DC1,Central,320.736,Central Core,NA,PRIVATE,,53.5442401394239,-113.477829131357,"(53.5442401394239, -113.477829131357)",POINT (-113.477829131357 53.5442401394239)
15232 96 STREET NW,Evansdale,3,RF1,Central,510.716,Mature,NA,PRIVATE,152,53.6134381655855,-113.490022470158,"(53.6134381655855, -113.490022470158)",POINT (-113.490022470158 53.6134381655855)
10156 94A STREET NW,Boyle Street,6,DC1,Central,218.926,Central Core,NA,PRIVATE,1,53.5448505019258,-113.477743905393,"(53.5448505019258, -113.477743905393)",POINT (-113.477743905393 53.5448505019258)
12454 47 STREET NW,Bergman,7,RF1,Central,287.839,Mature,NA,PRIVATE,144,53.5812678668415,-113.413632222454,"(53.5812678668415, -113.413632222454)",POINT (-113.413632222454 53.5812678668415)
11109 UNIVERSITY AVENUE NW,McKernan,8,RF3,Central,396.881,Mature,"1) House Development Permit: Job No 141539730-001: To construct a single detached house with rear covered Deck (1.83m x 2.59m) front veranda, fireplace and a secondary suite (2 Bedroom) 2) Accessory Building Development Permit: Job No 141539730-002: To construct an Accessory Building (7.01m X 6.71m Rear Detached Garage)",PRIVATE,170,53.5148383743938,-113.518213128437,"(53.5148383743938, -113.518213128437)",POINT (-113.518213128437 53.5148383743938)
11228 92 STREET NW,Alberta Avenue,7,RF3,Central,639.953,Mature,NA,PRIVATE,,53.5618451720348,-113.483076762456,"(53.5618451720348, -113.483076762456)",POINT (-113.483076762456 53.5618451720348)
11545 80 STREET NW,Parkdale,7,PU,Central,368.37,Mature,NA,MUNICIPAL,116,53.5671141081718,-113.464197059185,"(53.5671141081718, -113.464197059185)",POINT (-113.464197059185 53.5671141081718)
6410 104 STREET NW,Allendale,10,DC1,Central,404.806,Mature,"1) Rezoning: To rezone from CB2, IB, CB1, IH, IM, DC2 to DC1",PRIVATE,,53.5009723610176,-113.498139055841,"(53.5009723610176, -113.498139055841)",POINT (-113.498139055841 53.5009723610176)
10578 103 STREET NW,Central McDougall,6,DC1,Central,696.77,Central Core,"1) To rezone form DC1 to DC1, bylaw # 16852",PRIVATE,29,53.5495068937317,-113.497927254473,"(53.5495068937317, -113.497927254473)",POINT (-113.497927254473 53.5495068937317)
14606 95 AVENUE NW,Crestwood,1,RF1,Central,848.122,Mature,"1) House Development Permit: Job No 151730505-001: To construct a Single Detached House with front veranda ,fireplace, basement development (not to be used as an additional dwelling), two rear covered decks (4.11m x 3.05m and 1.37m x 1.78m) and demolition of an existing Single Detached House and rear detached Garage. 2) Accessory Building Development Permit: Job No 151730505-004: To construct an accessory building (rear detached garage 7.315m x 10.058m)",PRIVATE,,53.531685140587,-113.573248926774,"(53.531685140587, -113.573248926774)",POINT (-113.573248926774 53.531685140587)
9514 105 STREET NW,Rossdale,6,DC1,Central,375.702,Central Core,NA,MUNICIPAL,80,53.5314763315762,-113.501452244642,"(53.5314763315762, -113.501452244642)",POINT (-113.501452244642 53.5314763315762)
10148 CLIFTON PLACE NW,Westmount,6,DC2,Central,1103.584,Mature,NA,PRIVATE,97,53.5424314306142,-113.538949805353,"(53.5424314306142, -113.538949805353)",POINT (-113.538949805353 53.5424314306142)
9103 111 AVENUE NW,McCauley,6,CB1,Central,556.275,Central Core,1) Rezoning: To rezone from CB1 to DC4,PRIVATE,56,53.5604486852375,-113.481368004876,"(53.5604486852375, -113.481368004876)",POINT (-113.481368004876 53.5604486852375)
11326 79 STREET NW,Edmonton Northlands,7,RA7,Central,552.191,Mature,NA,PRIVATE,126,53.5635328997865,-113.462950093789,"(53.5635328997865, -113.462950093789)",POINT (-113.462950093789 53.5635328997865)
10803 JASPER AVENUE NW,Downtown,6,JAMSC,Central,4286.092,Central Core,"1) Major Development Permit: Job No 83209561-015: To construct interior alterations (increase the number of Dwellings to 237 from 198) and exterior alterations (additional balconies, canopies and cladding changes on all elevations; main front entry and reduction of landscaping on the podium rooftop) to an Apartment House / General Retail Stores (main floor) building. This is a revision to Development Permit number 83209561-011. (Mayfair North)",PRIVATE,,53.5405909452136,-113.507488631573,"(53.5405909452136, -113.507488631573)",POINT (-113.507488631573 53.5405909452136)
12647 161 AVENUE NW,Dunluce,3,RF1,North,4928.859,Established,NA,MUNICIPAL,,53.6229009283156,-113.540617483083,"(53.6229009283156, -113.540617483083)",POINT (-113.540617483083 53.6229009283156)
6824 104 STREET NW,Allendale,10,DC1,Central,426.927,Mature,"1) Rezoning: To rezone from CB2, IB, CB1, IH, IM, DC2 to DC1",PRIVATE,,53.5050949951088,-113.498142273611,"(53.5050949951088, -113.498142273611)",POINT (-113.498142273611 53.5050949951088)
12304 49 STREET NW,Bergman,7,RF1,Central,287.672,Mature,NA,PRIVATE,139,53.5786743977188,-113.417280009215,"(53.5786743977188, -113.417280009215)",POINT (-113.417280009215 53.5786743977188)
9609 76 AVENUE NW,Ritchie,11,CNC,Central,682.401,Mature,NA,PRIVATE,179,53.5120128095084,-113.476990967156,"(53.5120128095084, -113.476990967156)",POINT (-113.476990967156 53.5120128095084)
11916 76 STREET NW,Eastwood,7,RA8,Central,368.063,Mature,NA,PRIVATE,,53.5725188172273,-113.458459313324,"(53.5725188172273, -113.458459313324)",POINT (-113.458459313324 53.5725188172273)
11236 88 STREET NW,Parkdale,7,RF3,Central,367.853,Mature,NA,PRIVATE,115,53.5621704415098,-113.477082049983,"(53.5621704415098, -113.477082049983)",POINT (-113.477082049983 53.5621704415098)
10126 144 STREET NW,Grovenor,6,DC2,Central,1374.304,Mature,1) Rezoning: To rezone from RF1 to DC2 2) Major Development Permit: Job No 144213601-001: To construct an Apartment House (24 dwellings) with an underground parkade,PRIVATE,,53.5421126264606,-113.569592094187,"(53.5421126264606, -113.569592094187)",POINT (-113.569592094187 53.5421126264606)
9639 107 AVENUE NW,McCauley,6,RF6,Central,374.735,Central Core,NA,PRIVATE,,53.5519106492662,-113.488107760478,"(53.5519106492662, -113.488107760478)",POINT (-113.488107760478 53.5519106492662)
4508 DONSDALE DRIVE NW,Donsdale,5,RF1,West,595.715,Established,NA,PRIVATE,204,53.4833659181086,-113.634466091612,"(53.4833659181086, -113.634466091612)",POINT (-113.634466091612 53.4833659181086)
10159 94 STREET NW,Boyle Street,6,DC1,Central,1671.51,Central Core,NA,PRIVATE,8,53.5452522291334,-113.476391242377,"(53.5452522291334, -113.476391242377)",POINT (-113.476391242377 53.5452522291334)
9207 111 AVENUE NW,McCauley,6,CB1,Central,314.49,Central Core,NA,PRIVATE,54,53.5602654637642,-113.483320523391,"(53.5602654637642, -113.483320523391)",POINT (-113.483320523391 53.5602654637642)
12432 STONY PLAIN ROAD NW,Westmount,6,RA7,Central,263.784,Mature,NA,PRIVATE,98,53.5472845845264,-113.537434570955,"(53.5472845845264, -113.537434570955)",POINT (-113.537434570955 53.5472845845264)
10054 79 AVENUE NW,Ritchie,11,DC2,Central,1614.95,Mature,NA,PRIVATE,176,53.5154405446318,-113.490585971221,"(53.5154405446318, -113.490585971221)",POINT (-113.490585971221 53.5154405446318)
9346 107 AVENUE NW,McCauley,6,RF6,Central,374.163,Central Core,NA,PRIVATE,,53.5534891820639,-113.482122564719,"(53.5534891820639, -113.482122564719)",POINT (-113.482122564719 53.5534891820639)
10331 162 STREET NW,Britannia Youngstown,1,RF4,Central,696.001,Mature,NA,PRIVATE,,53.5458456115476,-113.600487755975,"(53.5458456115476, -113.600487755975)",POINT (-113.600487755975 53.5458456115476)
10133 88 STREET NW,Riverdale,6,RF2,Central,348.483,Central Core,NA,PRIVATE,71,53.5447413182348,-113.466656052802,"(53.5447413182348, -113.466656052802)",POINT (-113.466656052802 53.5447413182348)
10628 42 STREET NW,Gold Bar,8,RF1,Central,1056.669,Mature,"1) House Development Permit: Job No 136768190-001: To construct a single detached house with a rear covered deck, (3.66m X 3.66m) front veranda, and a basement development (no secondary suite). Basement development includes; 1 bedroom c/w closets, 1 bathroom, 1 laundry room, 1 mechanical room, NO KITCHEN. 2) Accessory Building Development Permit: Job No 136768190-002: To construct an Accessory Building (Rear Detached Garage - 7.32m x 7.32m)",PRIVATE,,53.5522371444223,-113.407398298681,"(53.5522371444223, -113.407398298681)",POINT (-113.407398298681 53.5522371444223)
11824 77 STREET NW,Eastwood,7,RA9,Central,747.188,Mature,NA,MUNICIPAL,134,53.571136032056,-113.459939350218,"(53.571136032056, -113.459939350218)",POINT (-113.459939350218 53.571136032056)
12815 CUMBERLAND ROAD NW,Pembina,2,RF6,North,6029.417,Established,"1) Rezoning: To rezone from DC2 to RA7, RF6",PRIVATE,200,53.6033956941841,-113.543398614865,"(53.6033956941841, -113.543398614865)",POINT (-113.543398614865 53.6033956941841)
9806 100 STREET NW,Rossdale,6,DC1,Central,308.495,Central Core,"1) Rezoning: To rezone from DC1 to DC1, AP, A",PRIVATE,73,53.5359952434582,-113.491486432057,"(53.5359952434582, -113.491486432057)",POINT (-113.491486432057 53.5359952434582)
5815 MILL WOODS ROAD SOUTH NW,Sakaw,11,RA7,Southeast,12711.114,Established,NA,PRIVATE,,53.4449026520934,-113.428668648924,"(53.4449026520934, -113.428668648924)",POINT (-113.428668648924 53.4449026520934)
15329 WHITEMUD ROAD NW,Brander Gardens,9,RR,Southwest,1566.407,Established,NA,PRIVATE,,53.4960540628977,-113.586243615416,"(53.4960540628977, -113.586243615416)",POINT (-113.586243615416 53.4960540628977)
15228 96 STREET NW,Evansdale,3,RF1,Central,510.69,Mature,NA,PRIVATE,152,53.6132875521982,-113.490022335714,"(53.6132875521982, -113.490022335714)",POINT (-113.490022335714 53.6132875521982)
11305 79 STREET NW,Edmonton Northlands,7,RF1,Central,459.416,Mature,NA,MUNICIPAL,127,53.5629689395492,-113.462024376819,"(53.5629689395492, -113.462024376819)",POINT (-113.462024376819 53.5629689395492)
9522 107A AVENUE NW,McCauley,6,DC2,Central,375.223,Central Core,NA,PRIVATE,,53.5539412291608,-113.484860415963,"(53.5539412291608, -113.484860415963)",POINT (-113.484860415963 53.5539412291608)
10549 121 STREET NW,Oliver,6,RA9,Central,5302.511,Central Core,"1) Rezoning: To rezone from IH, IH to CB2, RA9",PRIVATE,64,53.5479957897207,-113.531227278954,"(53.5479957897207, -113.531227278954)",POINT (-113.531227278954 53.5479957897207)
11916 78 STREET NW,Eastwood,7,RA7,Central,367.686,Mature,,PRIVATE,,53.5725227064228,-113.461458798571,"(53.5725227064228, -113.461458798571)",POINT (-113.461458798571 53.5725227064228)
9607 79 AVENUE NW,Ritchie,11,RF3,Central,403.632,Mature,1) Major Development Permit: Job No 136722830-001: To construct exterior alterations for additional accessory parking spaces. (Edmonton Korean Full Gospel Church),PRIVATE,,53.5148793436927,-113.477284292434,"(53.5148793436927, -113.477284292434)",POINT (-113.477284292434 53.5148793436927)
9834 100 STREET NW,Rossdale,6,DC1,Central,309.362,Central Core,"1) Rezoning: To rezone from DC1 to DC1, AP, A",MUNICIPAL,73,53.5367260908438,-113.491483407043,"(53.5367260908438, -113.491483407043)",POINT (-113.491483407043 53.5367260908438)
11007 97 STREET NW,McCauley,6,DC1,Central,307.025,Central Core,NA,PRIVATE,,53.5575847589683,-113.491406736744,"(53.5575847589683, -113.491406736744)",POINT (-113.491406736744 53.5575847589683)
10102 82 STREET NW,Forest Heights,8,RF3,Central,364.958,Mature,NA,PRIVATE,181,53.5414256198222,-113.454471928503,"(53.5414256198222, -113.454471928503)",POINT (-113.454471928503 53.5414256198222)
803 DRYSDALE RUN NW,Donsdale,5,RF1,West,1107.698,Established,"1) House Development Permit: Job No 147563438-001: To construct a single detached house with front attached garage, rear covered deck ( 5.49m x 4.01m) and (2.54m x 2.39m), front veranda and fireplaces on main floor and upper floor and basement development (not used as an additional dwelling)",PRIVATE,,,,,
9319 146 STREET NW,Parkview,1,RF1,Central,600.677,Mature,"1) Minor Development Permit: Job No 144549073-001: To demolish an existing Single Detached House and existing Accessory Building (rear detached garage - 6.10m x 6.71m).  2) House Development Permit: Job No 144562397-001: To construct a Single Detached House with front veranda, fireplace, rear uncovered deck (3.66m x 10.06m) and basement development (not to be used as an Additional Dwelling) 3) Accessory Building Development Permit: Job No 144562397-007: To construct an Accessory Building (rear detached garage - 7.32m X 10.36m). 4) Accessory Development Permit: Job No 144562397-002: To construct an Accessory Building (rear detached garage - max. 7.32m x 7.32m)",PRIVATE,,53.5291145866666,-113.572298135511,"(53.5291145866666, -113.572298135511)",POINT (-113.572298135511 53.5291145866666)
10511 154 AVENUE NW,Beaumaris,3,RF1,North,1016.134,Established,NA,PRIVATE,,53.6144338331301,-113.503506411811,"(53.6144338331301, -113.503506411811)",POINT (-113.503506411811 53.6144338331301)
9908 76 AVENUE NW,Ritchie,11,IM,Central,398.819,Mature,NA,PRIVATE,178,53.5125815925417,-113.486698765054,"(53.5125815925417, -113.486698765054)",POINT (-113.486698765054 53.5125815925417)
13304 108 STREET NW,Rosslyn,2,RF5,Central,530.108,Mature,NA,MUNICIPAL,,53.59369932571,-113.507117287481,"(53.59369932571, -113.507117287481)",POINT (-113.507117287481 53.59369932571)
11558 JASPER AVENUE NW,Oliver,6,DC1,Central,1475.078,Central Core,NA,PRIVATE,,53.5412829702871,-113.520872451381,"(53.5412829702871, -113.520872451381)",POINT (-113.520872451381 53.5412829702871)
11710 92 STREET NW,Alberta Avenue,7,RF3,Central,423.293,Mature,NA,PRIVATE,,53.5692053464686,-113.483147057119,"(53.5692053464686, -113.483147057119)",POINT (-113.483147057119 53.5692053464686)
9623 105 STREET NW,Rossdale,6,DC1,Central,699.273,Central Core,NA,PRIVATE,,53.5332041314449,-113.500552777891,"(53.5332041314449, -113.500552777891)",POINT (-113.500552777891 53.5332041314449)
11325 108 AVENUE NW,Queen Mary Park,6,RA7,Central,409.153,Central Core,NA,PRIVATE,69,53.5527683672905,-113.517103025548,"(53.5527683672905, -113.517103025548)",POINT (-113.517103025548 53.5527683672905)
10760 70 AVENUE NW,Queen Alexandra,8,RF3,Central,809.636,Mature,NA,PRIVATE,,53.5068478141065,-113.5090420105,"(53.5068478141065, -113.5090420105)",POINT (-113.5090420105 53.5068478141065)
12420 49 STREET NW,Bergman,7,AGU,Central,287.665,Mature,NA,PRIVATE,137,53.5806687182382,-113.417277466718,"(53.5806687182382, -113.417277466718)",POINT (-113.417277466718 53.5806687182382)
10574 111 STREET NW,Queen Mary Park,6,PU,Central,696.749,Central Core,NA,PRIVATE,94,53.5495065573509,-113.512640456872,"(53.5495065573509, -113.512640456872)",POINT (-113.512640456872 53.5495065573509)
12420 49 STREET NW,Bergman,7,AGU,Central,287.631,Mature,NA,PRIVATE,137,53.5806687182382,-113.417277466718,"(53.5806687182382, -113.417277466718)",POINT (-113.417277466718 53.5806687182382)
12844 104 STREET NW,Lauderdale,2,RF1,Central,740.288,Mature,NA,PRIVATE,,53.5870513953841,-113.499497568104,"(53.5870513953841, -113.499497568104)",POINT (-113.499497568104 53.5870513953841)
11322 79 STREET NW,Edmonton Northlands,7,RA7,Central,368.11,Mature,NA,MUNICIPAL,126,53.5634199446657,-113.462949834079,"(53.5634199446657, -113.462949834079)",POINT (-113.462949834079 53.5634199446657)
8105 95A STREET NW,Ritchie,11,RF3,Central,1001.597,Mature,NA,PRIVATE,178,53.5171957257359,-113.474962853359,"(53.5171957257359, -113.474962853359)",POINT (-113.474962853359 53.5171957257359)
