Genus Name,Species Name,Common Name,species,bio01,bio02,bio03,bio04,bio05,bio06,bio12,bio16,bio17,embergerQ
Cyrtandra,calpidicarpa,Valley cyrtandra,Cyrtandra calpidicarpa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,confertiflora,Lava cyrtandra,Cyrtandra confertiflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,cordifolia,Heartleaf cyrtandra,Cyrtandra cordifolia,24.53,8.26,65.04,154.91,30.63,17.93,1080.0,409.33,165.0,285.47
Cyrtandra,crenata,Kahana valley cyrtandra,Cyrtandra crenata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,cyaneoides,Mapele,Cyrtandra cyaneoides,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,dentata,Mountain cyrtandra,Cyrtandra dentata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,filipes,Gulch cyrtandra,Cyrtandra filipes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,garnotiana,Hahala,Cyrtandra garnotiana,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,giffardii,Forest cyrtandra,Cyrtandra giffardii,18.87,7.36,67.08,113.49,24.17,13.2,2179.25,724.25,387.0,681.35
Cyrtandra,gracilis,Palolo valley cyrtandra,Cyrtandra gracilis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,grandiflora,Largeflower cyrtandra,Cyrtandra grandiflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,grayana,Pacific cyrtandra,Cyrtandra grayana,17.71,6.4,61.5,121.03,22.8,12.4,2260.5,979.5,208.5,747.85
Cyrtandra,grayi,Gray's cyrtandra,Cyrtandra grayi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,halawensis,Toothleaf cyrtandra,Cyrtandra halawensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,hashimotoi,Maui cyrtandra,Cyrtandra hashimotoi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,hawaiensis,Hawai'i cyrtandra,Cyrtandra hawaiensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,hematos,Singleflower cyrtandra,Cyrtandra hematos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,kalihii,Koolau range cyrtandra,Cyrtandra kalihii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,kamoolaensis,Kamo'oloa cyrtandra,Cyrtandra kamoolaensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,kauaiensis,Ulunahele,Cyrtandra kauaiensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,kaulantha,Waikane valley cyrtandra,Cyrtandra kaulantha,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,kealiae,Wahiawa mountain cyrtandra,Cyrtandra kealiae,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,kohalae,Kohala mountain cyrtandra,Cyrtandra kohalae,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,laxiflora,Oahu cyrtandra,Cyrtandra laxiflora,20.07,6.64,59.46,143.81,25.48,14.3,1972.5,816.25,177.25,605.19
Cyrtandra,lessoniana,Lesson's cyrtandra,Cyrtandra lessoniana,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,longifolia,Longleaf cyrtandra,Cyrtandra longifolia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,lydgatei,Lydgate's cyrtandra,Cyrtandra lydgatei,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,lysiosepala,Oppositeleaf cyrtandra,Cyrtandra lysiosepala,16.84,8.49,68.42,125.04,22.84,10.49,1868.54,686.62,250.08,543.11
Cyrtandra,macraei,Upland cyrtandra,Cyrtandra macraei,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,macrocalyx,Largecalyx cyrtandra,Cyrtandra macrocalyx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,menziesii,Ha'iwale,Cyrtandra menziesii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,munroi,Lanaihale cyrtandra,Cyrtandra munroi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,olona,Kauai cyrtandra,Cyrtandra olona,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,oxybapha,Pohakea gulch cyrtandra,Cyrtandra oxybapha,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,paludosa,Kanawao ke'oke'o,Cyrtandra paludosa,17.71,6.86,61.46,137.46,23.1,11.89,3327.08,1134.17,530.83,1032.34
Cyrtandra,pickeringii,Pickering's cyrtandra,Cyrtandra pickeringii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,platyphylla,'ilihia,Cyrtandra platyphylla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,polyantha,Niu valley cyrtandra,Cyrtandra polyantha,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,procera,Bog cyrtandra,Cyrtandra procera,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,propinqua,Arrowleaf cyrtandra,Cyrtandra propinqua,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,pruinosa,Frosted cyrtandra,Cyrtandra pruinosa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,pulchella,Cyrtandra,Cyrtandra pulchella,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,rivularis,River cyrtandra,Cyrtandra rivularis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,sandwicensis,Hairy cyrtandra,Cyrtandra sandwicensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,sessilis,Windyridge cyrtandra,Cyrtandra sessilis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,spathulata,Spoonleaf cyrtandra,Cyrtandra spathulata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,subumbellata,Parasol cyrtandra,Cyrtandra subumbellata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,tintinnabula,Laupahoehoe cyrtandra,Cyrtandra tintinnabula,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,viridiflora,Greenleaf cyrtandra,Cyrtandra viridiflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,waianaeensis,Waianaeuka cyrtandra,Cyrtandra waianaeensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,waiolani,Fuzzyflower cyrtandra,Cyrtandra waiolani,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,wawrae,Rockface cyrtandra,Cyrtandra wawrae,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x alata,Cyrtandra x alata,Cyrtandra x alata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x alnea,Cyrtandra x alnea,Cyrtandra x alnea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x ambigua,Ambiguous cyrtandra,Cyrtandra x ambigua,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x atomigyna,Cyrtandra x atomigyna,Cyrtandra x atomigyna,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x axilliflora,Axilflower,Cyrtandra x axilliflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x basipartita,Cyrtandra x basipartita,Cyrtandra x basipartita,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x carinata,Cyrtandra x carinata,Cyrtandra x carinata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x caudatisepala,Cyrtandra x caudatisepala,Cyrtandra x caudatisepala,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x caulescens,Cyrtandra x caulescens,Cyrtandra x caulescens,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x christophersenii,Christoperson's cyrtandra,Cyrtandra x christophersenii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x cladantha,Cyrtandra x cladantha,Cyrtandra x cladantha,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x conradtii,Conradt's cyrtandra,Cyrtandra x conradtii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x crassifolia,Cyrtandra x crassifolia,Cyrtandra x crassifolia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x crassior,Cyrtandra x crassior,Cyrtandra x crassior,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x cupuliformis,Cyrtandra x cupuliformis,Cyrtandra x cupuliformis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x ferrocolorata,Cyrtandra x ferrocolorata,Cyrtandra x ferrocolorata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x ferruginosa,Cyrtandra x ferruginosa,Cyrtandra x ferruginosa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x forbesii,Forbes's cyrtandra,Cyrtandra x forbesii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x georgiana,Georgia cyrtandra,Cyrtandra x georgiana,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x hillebrandii,Hillebrand's cyrtandra,Cyrtandra x hillebrandii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x honolulensis,Honolulu cyrtandra,Cyrtandra x honolulensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x hosakae,Hosaka's cyrtandra,Cyrtandra x hosakae,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x kaalae,Kaala cyrtandra,Cyrtandra x kaalae,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x kahanaensis,Kahana cyrtandra,Cyrtandra x kahanaensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x kipahuluensis,Kipahulu cyrtandra,Cyrtandra x kipahuluensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x kipapaensis,Kipapa cyrtandra,Cyrtandra x kipapaensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x laevis,Cyrtandra x laevis,Cyrtandra x laevis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x malacophylla,Cyrtandra x malacophylla,Cyrtandra x malacophylla,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x mannii,Mann's cyrtandra,Cyrtandra x mannii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x nutans,Cyrtandra x nutans,Cyrtandra x nutans,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x opaeulae,Opaeula cyrtandra,Cyrtandra x opaeulae,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x pubens,Cyrtandra x pubens,Cyrtandra x pubens,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x ramosissima,Cyrtandra x ramosissima,Cyrtandra x ramosissima,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x rockii,Rock's cyrtandra,Cyrtandra x rockii,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x scabrella,Cyrtandra x scabrella,Cyrtandra x scabrella,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x subintegra,Cyrtandra x subintegra,Cyrtandra x subintegra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x turbiniformis,Cyrtandra x turbiniformis,Cyrtandra x turbiniformis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x umbraculiflora,Cyrtandra x umbraculiflora,Cyrtandra x umbraculiflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x villicalyx,Cyrtandra x villicalyx,Cyrtandra x villicalyx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtandra,x waihoiensis,Sharp-tooth cyrtandra,Cyrtandra x waihoiensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cyrtocarpa,edulis,Cyrtocarpa edulis,Cyrtocarpa edulis,22.49,14.5,57.66,433.16,34.75,9.61,266.85,190.62,2.23,36.42
Cyrtophyllum,fragrans,Cyrtophyllum fragrans,Cyrtophyllum fragrans,26.46,7.98,82.08,61.16,31.63,21.7,2558.41,919.94,397.25,909.94
Cyrtostachys,renda,Lipstick palm,Cyrtostachys renda,26.55,8.47,79.72,72.61,32.01,21.24,2302.03,884.17,306.02,750.67
Cytisus,multiflorus,White spanishbroom,Cytisus multiflorus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cytisus,proliferus,Escabon,Cytisus proliferus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cytisus,proliferus v. palmensis,Tagasaste,Cytisus proliferus v. palmensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cytisus,scoparius,Scotchbroom,Cytisus scoparius,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cytisus,striatus,Striated broom,Cytisus striatus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cytisus,villosus,Hairybroom,Cytisus villosus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cytisus,x dallimorei,Dallimore's spanishbroom,Cytisus x dallimorei,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dacrycarpus,dacrydioides,White pine,Dacrycarpus dacrydioides,11.52,8.62,47.09,343.86,20.89,2.62,2323.08,734.31,438.62,451.95
Dacrycarpus,imbricatus,Malayan yellowwood,Dacrycarpus imbricatus,18.99,8.93,76.58,106.44,24.88,12.78,2488.65,907.41,344.34,757.42
Dacrycarpus,kinabaluensis,Dacrycarpus kinabaluensis,Dacrycarpus kinabaluensis,12.75,7.99,85.83,29.3,17.49,8.18,2471.2,746.4,411.0,928.39
Dacrydium,cupressinum,Rimu,Dacrydium cupressinum,10.96,8.53,47.04,342.02,20.35,2.26,2327.96,730.87,445.33,455.29
Dacryodes,excelsa,Gommier,Dacryodes excelsa,23.66,9.02,71.51,120.87,29.66,17.09,1885.5,701.6,240.5,544.23
Dacryodes,kingii,Dacryodes kingii,Dacryodes kingii,26.44,7.41,88.58,38.49,30.87,22.5,3486.33,1073.33,721.0,1388.21
Dahlia,imperialis,Tree dahlia,Dahlia imperialis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dahlstedtia,pinnata,Timbo,Dahlstedtia pinnata,19.3,9.85,55.23,273.37,27.74,9.93,1767.73,680.29,239.74,344.99
Dais,cotinifolia,Pompon Tree,Dais cotinifolia,16.8,11.62,56.0,327.24,26.11,5.38,831.19,373.11,64.75,144.3
Dalbergia,assamica,Dalbergia assamica,Dalbergia assamica,19.31,9.07,38.12,567.12,30.67,5.92,1492.28,753.27,96.78,213.45
Dalbergia,brasiliensis,Jacaranda,Dalbergia brasiliensis,18.22,10.27,57.41,268.19,26.58,8.69,1558.73,614.08,212.53,303.08
Dalbergia,brownei,Brown's indian rosewood,Dalbergia brownei,26.0,9.58,66.68,171.07,33.45,18.73,1931.67,873.32,128.43,486.94
Dalbergia,cana,Dalbergia cana,Dalbergia cana,24.39,10.9,52.55,230.41,34.19,13.36,1675.05,932.11,24.0,286.34
Dalbergia,cochinchinensis,Siamese rosewood,Dalbergia cochinchinensis,25.42,8.9,58.58,183.49,32.33,16.96,1836.74,1001.04,40.61,412.15
Dalbergia,cultrata,Burma Blackwood,Dalbergia cultrata,23.13,11.06,51.14,267.76,33.0,11.34,1233.95,644.0,25.33,195.79
Dalbergia,ecastaphyllum,Coinvine,Dalbergia ecastaphyllum,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dalbergia,foliolosa,Jacaranda-rosa,Dalbergia foliolosa,21.01,10.43,64.24,194.54,28.56,12.19,1550.76,685.97,149.91,345.4
Dalbergia,hupeana,Dalbergia hupeana,Dalbergia hupeana,16.81,8.17,27.62,794.09,31.38,1.61,1362.68,617.76,117.61,160.19
Dalbergia,lanceolaria,Chakemdia,Dalbergia lanceolaria,24.74,10.49,51.93,274.57,34.6,13.86,1553.07,979.19,25.14,274.04
Dalbergia,lanceolaria v. errans,Dalbergia lanceolaria var. errans,Dalbergia lanceolaria v. errans,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dalbergia,latifolia,Indian black rosewood,Dalbergia latifolia,25.05,9.46,62.81,184.18,33.04,16.78,2015.5,1080.62,109.19,510.82
Dalbergia,monetaria,Moneybush,Dalbergia monetaria,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dalbergia,nigra,Bahia rosewood,Dalbergia nigra,21.72,10.24,63.84,191.14,29.16,13.11,1336.99,595.92,130.26,297.51
Dalbergia,nigrescens,Kratie rosewood,Dalbergia nigrescens,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dalbergia,odorifera,Fragrant Rosewood,Dalbergia odorifera,20.44,7.91,38.47,509.91,30.65,9.07,1365.17,675.0,90.42,215.37
Dalbergia,oliveri,Burmese Rosewood,Dalbergia oliveri,24.59,10.61,53.09,232.62,33.93,13.78,1186.66,605.12,22.75,208.41
Dalbergia,parviflora,Akar Laka,Dalbergia parviflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dalbergia,retusa,Cocobolo,Dalbergia retusa,25.77,9.0,72.49,82.45,32.46,20.08,1814.83,876.9,45.81,503.57
Dalbergia,sissoo,Indian rosewood,Dalbergia sissoo,23.58,11.72,49.33,456.66,35.32,10.58,1075.87,600.28,57.93,183.42
Dalbergia,tucurensis,Granadillo,Dalbergia tucurensis,22.51,10.04,69.67,129.25,29.76,15.25,1984.67,895.8,124.57,494.59
Dalea,carthagenensis,Cartagena prairie clover,Dalea carthagenensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dalea,coerulea,Chiripique,Dalea coerulea,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Damburneya,coriacea,Lancewood,Damburneya coriacea,24.99,11.1,67.87,176.62,32.92,16.55,1452.03,627.81,126.22,308.02
Damburneya,patens,Capberry,Damburneya patens,22.36,10.23,74.25,119.58,28.85,15.13,1742.47,659.83,210.9,438.4
Damburneya,salicina,Damburneya salicina,Damburneya salicina,20.83,9.3,75.76,77.19,27.23,14.93,2351.52,1055.06,103.71,669.2
Daniellia,thurifera,Frankincense tree,Daniellia thurifera,25.33,10.95,71.23,91.66,33.28,17.8,2191.31,1019.31,125.1,530.5
Daphne,laureola,Spurgelaurel,Daphne laureola,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Daphniphyllum,macropodum,Daphniphyllum,Daphniphyllum macropodum,12.04,7.94,26.29,826.38,27.48,-2.92,1726.74,677.92,223.6,206.97
Daphnopsis,americana,Burn nose,Daphnopsis americana,22.83,10.94,69.99,144.22,30.75,14.88,1674.72,794.83,102.96,409.21
Daphnopsis,bogotensis,Daphnopsis bogotensis,Daphnopsis bogotensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Daphnopsis,brasiliensis,Embira branca,Daphnopsis brasiliensis,18.87,11.62,62.49,239.23,27.08,8.43,1446.67,708.22,99.56,267.48
Daphnopsis,caracasana,Granado,Daphnopsis caracasana,13.31,9.45,82.42,36.7,18.84,7.33,1343.81,475.12,175.29,424.38
Daphnopsis,helleriana,Heller's cieneguillo,Daphnopsis helleriana,25.77,10.36,75.35,134.43,32.3,18.55,1840.0,549.5,282.5,448.21
Daphnopsis,philippiana,Emajagua de sierra,Daphnopsis philippiana,21.02,8.69,70.95,131.59,26.78,14.58,2097.29,785.14,255.14,589.3
Dasiphora,floribunda,Shrubby cinquefoil,Dasiphora floribunda,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dasylirion,acrotrichum,Great desert spoon,Dasylirion acrotrichum,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dasylirion,wheeleri,Desert spoon,Dasylirion wheeleri,16.26,16.06,47.04,707.11,33.76,-0.45,403.22,203.21,29.9,41.43
Datura,metel,Jimsonweed,Datura metel,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Davidia,involucrata,Dove Tree,Davidia involucrata,11.98,8.18,32.39,652.61,25.28,-0.53,1062.8,431.32,126.13,147.98
Davidsonia,jerseyana,Mullumbimby Plum,Davidsonia jerseyana,18.54,9.36,49.37,356.32,27.28,8.38,1662.92,619.12,205.92,302.41
Decaisnea,insignis,Dead man's fingers,Decaisnea insignis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dedeckera,eurekensis,July gold,Dedeckera eurekensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delissea,fallax,Hawai'i delissea,Delissea fallax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delissea,laciniata,Cutleaf delissea,Delissea laciniata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delissea,lauliiana,Small-leaf delissea,Delissea lauliiana,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delissea,parviflora,Smallflower delissea,Delissea parviflora,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delissea,rhytidosperma,Kauai delissea,Delissea rhytidosperma,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delissea,subcordata,Koolau range delissea,Delissea subcordata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delissea,undulata,Leechleaf delissea,Delissea undulata,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Delonix,regia,Royal poinciana,Delonix regia,23.72,10.55,62.76,220.07,32.15,14.79,1227.05,612.17,80.19,272.47
Delostoma,integrifolium,Teterete,Delostoma integrifolium,15.43,10.59,86.49,33.94,21.6,9.31,1337.79,524.83,154.76,399.31
Dendrocalamus,strictus,Iron Bamboo,Dendrocalamus strictus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dendrocnide,harveyi,Dendrocnide harveyi,Dendrocnide harveyi,24.78,6.05,76.77,67.49,28.75,20.85,3270.5,1206.38,496.5,1412.8
Dendrocnide,latifolia,kahtat,Dendrocnide latifolia,24.86,6.78,73.59,94.15,29.48,20.07,2780.0,1014.29,450.04,1038.97
Dendrolobium,umbellatum,Horse bush,Dendrolobium umbellatum,25.15,7.52,68.42,135.73,30.74,19.31,2360.76,947.27,316.67,780.57
Dendromecon,harfordii,Harford's tree poppy,Dendromecon harfordii,15.59,10.17,57.91,275.05,24.94,7.43,376.57,226.97,3.55,74.86
Dendromecon,rigida,Tree poppy,Dendromecon rigida,14.61,13.89,52.35,485.72,29.78,2.97,580.64,316.93,12.02,78.09
Dendropanax,arboreus,Angelica tree,Dendropanax arboreus,23.0,10.44,70.17,145.46,30.51,15.34,2093.57,906.81,175.25,520.74
Dendropanax,laurifolius,Palo de vaca,Dendropanax laurifolius,21.74,9.76,72.87,132.1,28.02,14.68,1963.65,762.88,227.35,505.12
Dendropanax,trifidus,Korean dendropanax,Dendropanax trifidus,14.8,7.79,26.8,772.64,29.24,0.25,1859.45,740.23,198.92,225.49
Dendropanax,trilobus,Dendropanax trilobus,Dendropanax trilobus,16.45,10.38,60.03,224.13,24.46,7.16,1741.4,791.0,140.2,348.45
Dendropemon,bicolor,Puerto rico leechbush,Dendropemon bicolor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dendropemon,caribaeus,Four-angle leechbush,Dendropemon caribaeus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dendropemon,purpureus,Smooth leechbush,Dendropemon purpureus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dendrophthora,domingensis,Cuban tree destroyer,Dendrophthora domingensis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dendrophthora,flagelliformis,Caribbean tree destroyer,Dendrophthora flagelliformis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Denhamia,obscura,Denhamia,Denhamia obscura,27.09,11.08,58.66,227.58,35.35,16.46,1302.62,844.07,7.51,246.44
Derris,robusta,Jamurja,Derris robusta,22.83,10.24,52.37,279.96,31.58,11.81,1868.28,1026.28,41.0,342.3
Desmos,chinensis,Dwarf Ylang Ylang Shrub,Desmos chinensis,24.06,8.72,69.45,136.01,30.29,17.74,1347.15,601.05,130.87,377.64
Desmoscelis,villosa,Desmoscelis villosa,Desmoscelis villosa,24.1,10.97,73.62,107.03,31.3,16.17,1870.12,829.15,141.25,453.35
Deutzia,crenata,Crenate pride-of-rochester,Deutzia crenata,12.19,8.45,27.84,801.07,27.64,-2.68,1637.15,614.92,199.49,189.99
